Priorité;Tier;Établissement;Type;Gestionnaire;Statut;Adresse;CP;Arr.;Spécialités;Email;Email_OK;Source_email;Téléphone;Site/Contact;Accroche;Directeur;Salutation;Email_direction_verifie;Statut_ciblage
1;A — Prioritaire (privé HDG / RSS);EHPAD La Résidence de Sèvres;EHPAD;Domidep;privé commercial;81 bis rue Vaneau;75007;7e;47 chambres individuelles spacieuses, moyens/longs séjours;contact@residencedesevres.com;OUI;page contact residencedesevres.com — à confirmer;01 40 48 31 00;https://www.residencedesevres.com/fr/contact;Petit EHPAD de standing (47 chambres raffinées) à deux pas des Invalides et de Saint-Germain, pensé comme une résidence hôtelière intimiste dans le 7e.;;Madame, Monsieur,;;
1;A — Prioritaire (privé HDG / RSS);Résidence Seniors Les Hespérides Daumesnil;résidence services seniors;Les Hespérides (SOPREGIM);privé commercial;125 ter rue de Reuilly;75012;12e;89 logements (location/propriété), seniors actifs autonomes;sopregim@compass-group.fr;OUI;pagesjaunes.fr — exploitant SOPREGIM;01 40 19 08 89;residence.leshesperides.fr — Daumesnil;Résidence services pour retraités actifs autonomes, idéalement située dans le quartier résidentiel de Reuilly-Daumesnil.;;Madame, Monsieur,;;
1;A — Prioritaire (privé HDG / RSS);EHPAD Korian Champ-de-Mars;EHPAD;Korian (Clariane);privé commercial;64 rue de la Fédération;75015;15e;108 lits, 98 chambres climatisées, permanent + court séjour;reception.champdemars@korian.fr;OUI;format standard Korian reception.<site>@korian.fr — à reconfirmer;01 56 58 33 33;korian.fr — Korian Champ-de-Mars;Au pied de la tour Eiffel, vos 98 chambres climatisées sont un vrai atout de confort haut de gamme dans le 15e.;;Madame, Monsieur,;;
1;A — Prioritaire (privé HDG / RSS);EHPAD Maisons de Famille Villa Lecourbe;EHPAD;Maisons de Famille;privé commercial;286 rue Lecourbe;75015;15e;45 résidents, unité Alzheimer 8 lits, haut de gamme intimiste;lecourbe@maisonsdefamille.com;OUI;format <site>@maisonsdefamille.com — à reconfirmer sur la page établissement;01 72 36 11 00;https://www.maisonsdefamille.com/nos-mdr/villa-lecourbe/;Maison intimiste de seulement 45 résidents : un positionnement haut de gamme à taille familiale, rare à Paris.;Elena Khabi;Madame Khabi,;;
1;A — Prioritaire (privé HDG / RSS);EHPAD Résidence Castagnary;EHPAD;Emeis (ex-Orpea);privé commercial;102-108 rue Castagnary;75015;15e;>100 places, unité Alzheimer ~18 lits, proche parc G.-Brassens;castagnary@orpea.net;OUI;format historique <site>@orpea.net — à reconfirmer (formulaire emeis.fr);01 45 30 74 20;https://www.emeis.fr/maison-de-retraite-castagnary-paris-75;Idéalement placée près du parc Georges-Brassens, avec une unité protégée Alzheimer au sein du groupe Emeis.;Marion Marquet;Madame Marquet,;;
1;A — Prioritaire (privé HDG / RSS);EHPAD Les Terrasses de Mozart;EHPAD;Emeis (ex-Orpea);privé commercial;11 bis rue de la Source;75016;16e;88 places, permanent + court séjour, unité soins adaptés;mozart@orpea.net;OUI;format historique <site>@orpea.net — à reconfirmer (formulaire emeis.fr);NON TROUVÉ;https://www.emeis.fr/form/formulaire-de-contact;Au nord du Village d'Auteuil, un EHPAD haut de gamme Emeis avec unité protégée pour personnes désorientées.;;Madame, Monsieur,;;
1;A — Prioritaire (privé HDG / RSS);EHPAD Les Artistes de Batignolles;EHPAD;Emeis (ex-Orpea);privé commercial;5 rue René Blum;75017;17e;125 chambres médicalisées, ouvert 2016, quartier Clichy-Batignolles;batignolles@orpea.net;OUI;pagesjaunes.fr + annuaires concordants — format <site>@orpea.net, à reconfirmer;01 83 62 03 10;emeis.fr — Les Artistes de Batignolles;Résidence récente (2016) de 125 chambres au cœur du nouveau quartier Clichy-Batignolles, sur le thème des artistes.;Laure Crepy-Lelievre;Madame Crepy-Lelievre,;;
1;A — Prioritaire (privé HDG / RSS);EHPAD Résidence Assomption;EHPAD;Emeis (ex-Orpea);privé commercial;19 rue de l'Assomption;75016;16e;EHPAD quartier La Muette / Maison de la Radio, cadre calme;NON TROUVÉ;NON;;01 40 50 27 00;https://www.emeis.fr/form/formulaire-de-contact;EHPAD haut de gamme près de la Maison de la Radio, dans le quartier prisé de La Muette.;;Madame, Monsieur,;;
1;A — Prioritaire (privé HDG / RSS);EHPAD Résidence Chaillot;EHPAD;Emeis (ex-Orpea);privé commercial;15 rue Boissière;75016;16e;26 lits permanents, petite structure de proximité;NON TROUVÉ;NON;;01 89 16 15 00;https://www.emeis.fr/form/formulaire-de-contact;Petit EHPAD de seulement 26 lits rue Boissière, à deux pas de l'Étoile : un format confidentiel et exclusif.;;Madame, Monsieur,;;
1;A — Prioritaire (privé HDG / RSS);EHPAD Résidence Trocadéro;EHPAD;Emeis (ex-Orpea);privé commercial;7/9 bis rue du Bouquet de Longchamp;75116;16e;87 lits dont 21 unité soins adaptés, quartier Chaillot, ouvert 2018;NON TROUVÉ;NON;;01 40 60 38 30;https://www.emeis.fr/form/formulaire-de-contact;Établissement récent (2018) en plein cœur de Chaillot, avec une unité protégée de 21 lits, l'un des mieux notés du 16e.;;Madame, Monsieur,;;
