nom;siren;siret;naf;libelle_naf;groupe_metier;adresse;code_postal;commune;tranche_effectif;date_creation;dirigeants;source_dpe;message_prospection
LAFORET IMMOBILIER MONTMARTRE;451236789;45123678900032;6831Z;Agences immobilieres;immobilier;15 Rue des Abbesses;75018;PARIS 18;6 a 9;2008-03-15;Marie Dupont;75018/75009 - semaine;"Bonjour Marie Dupont,

Je me permets de vous contacter car votre agence LAFORET IMMOBILIER MONTMARTRE situee 15 Rue des Abbesses se trouve a proximite de biens recemment diagnostiques (DPE). Nous accompagnons les proprietaires dans la renovation energetique et cherchons des partenaires immobiliers pour identifier ensemble les biens necessitant des travaux.

Notre programme apporteur d'affaires vous offre une commission attractive pour chaque mise en relation aboutissant a un chantier de renovation.

Seriez-vous disponible pour un echange de 15 minutes cette semaine ?

Cordialement,
L'equipe Trudaines Energie"
CENTURY 21 BARBES;512345678;51234567800019;6831Z;Agences immobilieres;immobilier;42 Boulevard Barbes;75018;PARIS 18;3 a 5;2012-06-20;Jean-Pierre Martin;75018/75009 - semaine;"Bonjour Jean-Pierre Martin,

Je me permets de vous contacter car votre agence CENTURY 21 BARBES situee 42 Boulevard Barbes se trouve a proximite de biens recemment diagnostiques (DPE). Nous accompagnons les proprietaires dans la renovation energetique et cherchons des partenaires immobiliers pour identifier ensemble les biens necessitant des travaux.

Notre programme apporteur d'affaires vous offre une commission attractive pour chaque mise en relation aboutissant a un chantier de renovation.

Seriez-vous disponible pour un echange de 15 minutes cette semaine ?

Cordialement,
L'equipe Trudaines Energie"
ORPI TRUDAINES;623456789;62345678900025;6831Z;Agences immobilieres;immobilier;23 Rue des Martyrs;75009;PARIS 9;6 a 9;2005-11-08;Sophie Bernard;75018/75009 - semaine;"Bonjour Sophie Bernard,

Je me permets de vous contacter car votre agence ORPI TRUDAINES situee 23 Rue des Martyrs se trouve a proximite de biens recemment diagnostiques (DPE). Nous accompagnons les proprietaires dans la renovation energetique et cherchons des partenaires immobiliers pour identifier ensemble les biens necessitant des travaux.

Notre programme apporteur d'affaires vous offre une commission attractive pour chaque mise en relation aboutissant a un chantier de renovation.

Seriez-vous disponible pour un echange de 15 minutes cette semaine ?

Cordialement,
L'equipe Trudaines Energie"
FONCIA GESTION NORD PARIS;321456987;32145698700019;6832A;Administration d'immeubles residentiels;immobilier;8 Rue Condorcet;75009;PARIS 9;10 a 19;1998-02-10;Philippe Laurent;75018/75009 - semaine;"Bonjour Philippe Laurent,

Je me permets de vous contacter car votre agence FONCIA GESTION NORD PARIS situee 8 Rue Condorcet se trouve a proximite de biens recemment diagnostiques (DPE). Nous accompagnons les proprietaires dans la renovation energetique et cherchons des partenaires immobiliers pour identifier ensemble les biens necessitant des travaux.

Notre programme apporteur d'affaires vous offre une commission attractive pour chaque mise en relation aboutissant a un chantier de renovation.

Seriez-vous disponible pour un echange de 15 minutes cette semaine ?

Cordialement,
L'equipe Trudaines Energie"
CABINET LAMY SYNDIC;734567890;73456789000031;6832A;Administration d'immeubles residentiels;immobilier;56 Rue de Dunkerque;75009;PARIS 9;6 a 9;2001-09-12;Isabelle Moreau;75018/75009 - semaine;"Bonjour Isabelle Moreau,

Je me permets de vous contacter car votre agence CABINET LAMY SYNDIC situee 56 Rue de Dunkerque se trouve a proximite de biens recemment diagnostiques (DPE). Nous accompagnons les proprietaires dans la renovation energetique et cherchons des partenaires immobiliers pour identifier ensemble les biens necessitant des travaux.

Notre programme apporteur d'affaires vous offre une commission attractive pour chaque mise en relation aboutissant a un chantier de renovation.

Seriez-vous disponible pour un echange de 15 minutes cette semaine ?

Cordialement,
L'equipe Trudaines Energie"
NEXITY PARIS NORD;345678912;34567891200029;6831Z;Agences immobilieres;immobilier;31 Rue La Fayette;75009;PARIS 9;20 a 49;2003-04-22;Marc Lefevre;75018/75009 - semaine;"Bonjour Marc Lefevre,

Je me permets de vous contacter car votre agence NEXITY PARIS NORD situee 31 Rue La Fayette se trouve a proximite de biens recemment diagnostiques (DPE). Nous accompagnons les proprietaires dans la renovation energetique et cherchons des partenaires immobiliers pour identifier ensemble les biens necessitant des travaux.

Notre programme apporteur d'affaires vous offre une commission attractive pour chaque mise en relation aboutissant a un chantier de renovation.

Seriez-vous disponible pour un echange de 15 minutes cette semaine ?

Cordialement,
L'equipe Trudaines Energie"
DIAG IMMO EXPERTISE;892345671;89234567100028;7120B;Analyses, essais et inspections techniques (diagnostiqueurs);diagnostic;17 Rue Ramey;75018;PARIS 18;1 a 2;2019-01-14;Thomas Garcia;75018/75009 - semaine;"Bonjour Thomas Garcia,

En tant que professionnel du diagnostic (DIAG IMMO EXPERTISE), vous etes en premiere ligne pour identifier les biens energivores. Nous proposons un partenariat gagnant-gagnant : vous nous orientez les proprietaires de biens classes D, E, F ou G, et nous vous reversons une commission sur chaque projet de renovation realise.

Plusieurs diagnostiqueurs partenaires generent deja un complement de revenus significatif grace a ce dispositif.

Pouvons-nous en discuter ?

Cordialement,
L'equipe Trudaines Energie"
AC ENVIRONNEMENT DIAGNOSTIC;956789012;95678901200015;7120B;Analyses, essais et inspections techniques (diagnostiqueurs);diagnostic;6 Rue Victor Masse;75009;PARIS 9;3 a 5;2015-07-03;Nicolas Petit;75018/75009 - semaine;"Bonjour Nicolas Petit,

En tant que professionnel du diagnostic (AC ENVIRONNEMENT DIAGNOSTIC), vous etes en premiere ligne pour identifier les biens energivores. Nous proposons un partenariat gagnant-gagnant : vous nous orientez les proprietaires de biens classes D, E, F ou G, et nous vous reversons une commission sur chaque projet de renovation realise.

Plusieurs diagnostiqueurs partenaires generent deja un complement de revenus significatif grace a ce dispositif.

Pouvons-nous en discuter ?

Cordialement,
L'equipe Trudaines Energie"
ALLODIAGNOSTIC PARIS;867890123;86789012300022;7120B;Analyses, essais et inspections techniques (diagnostiqueurs);diagnostic;44 Rue Ordener;75018;PARIS 18;1 a 2;2020-03-09;Camille Roux;75018/75009 - semaine;"Bonjour Camille Roux,

En tant que professionnel du diagnostic (ALLODIAGNOSTIC PARIS), vous etes en premiere ligne pour identifier les biens energivores. Nous proposons un partenariat gagnant-gagnant : vous nous orientez les proprietaires de biens classes D, E, F ou G, et nous vous reversons une commission sur chaque projet de renovation realise.

Plusieurs diagnostiqueurs partenaires generent deja un complement de revenus significatif grace a ce dispositif.

Pouvons-nous en discuter ?

Cordialement,
L'equipe Trudaines Energie"
NOTAIRE OFFICE TRUDAINES;478901234;47890123400018;6910Z;Activites juridiques (notaires, avocats);juridique_finance;12 Rue de Maubeuge;75009;PARIS 9;6 a 9;1995-12-01;Me Francois Dubois;75018/75009 - semaine;"Bonjour Me Francois Dubois,

Votre cabinet NOTAIRE OFFICE TRUDAINES accompagne des proprietaires et investisseurs immobiliers au quotidien. La reglementation DPE impacte directement la valeur de leur patrimoine (interdiction de location F/G).

Nous proposons un partenariat pour orienter vos clients vers nos solutions de renovation energetique, avec une commission pour chaque mise en relation concretisee.

Echangeons sur les modalites ?

Cordialement,
L'equipe Trudaines Energie"
