numero_dpe;date_dpe;classe_dpe;classe_ges;adresse;code_postal;commune;surface;annee_construction;type_batiment;conso_energie;emission_ges;lat;lon;sirene_nb_entreprises;sirene_1_nom;sirene_1_siret;sirene_1_activite;sirene_2_nom;sirene_2_siret;message_prospection
2326E88703683E4D3;2026-04-10;A;A;12 Rue Ordener;75018;Paris 18e;28;1850;Appartement;65;1;48.8918;2.3487;1;ECORENOV IDF;91234567800023;Travaux d'installation d'eau et de gaz;;;"Objet : Votre diagnostic energetique -- 12 Rue Ordener 75018 Paris 18e

Bonjour,

Felicitations ! Votre bien classe A est un atout majeur. Nous pouvons vous accompagner pour valoriser cette performance energetique exceptionnelle lors d'une vente ou mise en location, et optimiser encore davantage vos charges energetiques.

Surface concernee : 28 m2. Annee de construction : 1850.

N'hesitez pas a nous contacter pour un diagnostic gratuit et un devis personnalise.

Cordialement,
L'equipe Trudaines Energie"
2326E05B20E90F741;2026-04-11;B;B;45 Rue Custine;75018;Paris 18e;35;1880;Appartement;80;6;48.8886;2.3495;1;DIAG IMMO EXPERTISE;89234567100028;Analyses, essais et inspections techniques;;;"Objet : Votre diagnostic energetique -- 45 Rue Custine 75018 Paris 18e

Bonjour,

Votre bien classe B affiche d'excellentes performances. Quelques ajustements cibles (isolation complementaire, regulation du chauffage) pourraient vous faire atteindre la classe A et augmenter significativement la valeur de votre patrimoine.

Surface concernee : 35 m2. Annee de construction : 1880.

N'hesitez pas a nous contacter pour un diagnostic gratuit et un devis personnalise.

Cordialement,
L'equipe Trudaines Energie"
2326E7FFBD55E902F;2026-04-12;C;B;8 Rue du Mont-Cenis;75018;Paris 18e;42;1900;Appartement;154;13;48.8872;2.3441;3;BOULANGERIE AU PAIN DORE;41234567800011;Boulangerie et patisserie;SARL RENOV HABITAT PARIS;84521367800014;"Objet : Votre diagnostic energetique -- 8 Rue du Mont-Cenis 75018 Paris 18e

Bonjour,

Votre bien classe C offre un bon potentiel d'amelioration. Des travaux de renovation energetique (isolation des combles, remplacement des fenetres, pompe a chaleur) vous permettraient de reduire vos factures de 30 a 40 % et de gagner en confort. Des aides MaPrimeRenov' sont disponibles.

Surface concernee : 42 m2. Annee de construction : 1900.

N'hesitez pas a nous contacter pour un diagnostic gratuit et un devis personnalise.

Cordialement,
L'equipe Trudaines Energie"
2326E9D7F82F998D3;2026-04-13;C;C;23 Rue Ramey;75018;Paris 18e;48;1920;Immeuble;125;14;48.8896;2.3471;1;NEXITY IMMOBILIER;34567891200029;Agences immobilieres;;;"Objet : Votre diagnostic energetique -- 23 Rue Ramey 75018 Paris 18e

Bonjour,

Votre bien classe C offre un bon potentiel d'amelioration. Des travaux de renovation energetique (isolation des combles, remplacement des fenetres, pompe a chaleur) vous permettraient de reduire vos factures de 30 a 40 % et de gagner en confort. Des aides MaPrimeRenov' sont disponibles.

Surface concernee : 48 m2. Annee de construction : 1920.

N'hesitez pas a nous contacter pour un diagnostic gratuit et un devis personnalise.

Cordialement,
L'equipe Trudaines Energie"
2326E0A3669ADB33D;2026-04-14;D;D;67 Rue Marx Dormoy;75018;Paris 18e;55;1930;Maison;228;27;48.8935;2.3594;3;CABINET FONCIA TRUDAINES;32145698700019;Administration d'immeubles et autres biens immobiliers;NEXITY IMMOBILIER;34567891200029;"Objet : Votre diagnostic energetique -- 67 Rue Marx Dormoy 75018 Paris 18e

Bonjour,

Votre bien classe D necessite des travaux de renovation pour rester competitif sur le marche. L'isolation thermique, le changement de systeme de chauffage et la ventilation sont les leviers principaux. Vous pouvez beneficier d'aides substantielles (MaPrimeRenov', CEE, eco-PTZ) couvrant jusqu'a 60 % des travaux.

Surface concernee : 55 m2. Annee de construction : 1930.

N'hesitez pas a nous contacter pour un diagnostic gratuit et un devis personnalise.

Cordialement,
L'equipe Trudaines Energie"
2326ECF809CDAA606;2026-04-15;D;D;15 Rue Marcadet;75018;Paris 18e;62;1955;Appartement;204;30;48.8912;2.3508;3;ECORENOV IDF;91234567800023;Travaux d'installation d'eau et de gaz;SARL RENOV HABITAT PARIS;84521367800014;"Objet : Votre diagnostic energetique -- 15 Rue Marcadet 75018 Paris 18e

Bonjour,

Votre bien classe D necessite des travaux de renovation pour rester competitif sur le marche. L'isolation thermique, le changement de systeme de chauffage et la ventilation sont les leviers principaux. Vous pouvez beneficier d'aides substantielles (MaPrimeRenov', CEE, eco-PTZ) couvrant jusqu'a 60 % des travaux.

Surface concernee : 62 m2. Annee de construction : 1955.

N'hesitez pas a nous contacter pour un diagnostic gratuit et un devis personnalise.

Cordialement,
L'equipe Trudaines Energie"
2326EA10C55ED3229;2026-04-16;D;E;3 Rue Letort;75018;Paris 18e;68;1960;Appartement;217;29;48.8927;2.3467;2;AGENCE LAFORET MONTMARTRE;45123678900032;Agences immobilieres;CABINET FONCIA TRUDAINES;32145698700019;"Objet : Votre diagnostic energetique -- 3 Rue Letort 75018 Paris 18e

Bonjour,

Votre bien classe D necessite des travaux de renovation pour rester competitif sur le marche. L'isolation thermique, le changement de systeme de chauffage et la ventilation sont les leviers principaux. Vous pouvez beneficier d'aides substantielles (MaPrimeRenov', CEE, eco-PTZ) couvrant jusqu'a 60 % des travaux.

Surface concernee : 68 m2. Annee de construction : 1960.

N'hesitez pas a nous contacter pour un diagnostic gratuit et un devis personnalise.

Cordialement,
L'equipe Trudaines Energie"
2326E5F494493237D;2026-04-10;E;E;41 Rue Doudeauville;75018;Paris 18e;75;1970;Appartement;301;47;48.8887;2.3539;1;BOULANGERIE AU PAIN DORE;41234567800011;Boulangerie et patisserie;;;"Objet : Votre diagnostic energetique -- 41 Rue Doudeauville 75018 Paris 18e

Bonjour,

ATTENTION -- Votre bien classe E est considere comme energivore. La reglementation se durcit : interdiction de location des 2034. Agissez des maintenant pour une renovation globale performante. Nos audits energetiques identifient les travaux prioritaires et maximisent vos aides financieres (jusqu'a 70 % de prise en charge).

Surface concernee : 75 m2. Annee de construction : 1970.

N'hesitez pas a nous contacter pour un diagnostic gratuit et un devis personnalise.

Cordialement,
L'equipe Trudaines Energie"
2326E8DD6FB7A9F9A;2026-04-11;E;F;29 Boulevard Barbes;75018;Paris 18e;82;1975;Immeuble;286;49;48.8849;2.3497;2;SAS PLOMBERIE CHAUFFAGE 18;78912345600018;Travaux d'installation d'eau et de gaz;ECORENOV IDF;91234567800023;"Objet : Votre diagnostic energetique -- 29 Boulevard Barbes 75018 Paris 18e

Bonjour,

ATTENTION -- Votre bien classe E est considere comme energivore. La reglementation se durcit : interdiction de location des 2034. Agissez des maintenant pour une renovation globale performante. Nos audits energetiques identifient les travaux prioritaires et maximisent vos aides financieres (jusqu'a 70 % de prise en charge).

Surface concernee : 82 m2. Annee de construction : 1975.

N'hesitez pas a nous contacter pour un diagnostic gratuit et un devis personnalise.

Cordialement,
L'equipe Trudaines Energie"
2326E1408379F05F2;2026-04-12;F;F;18 Rue Hermel;75018;Paris 18e;95;1985;Maison;362;67;48.8907;2.3432;2;NEXITY IMMOBILIER;34567891200029;Agences immobilieres;DIAG IMMO EXPERTISE;89234567100028;"Objet : Votre diagnostic energetique -- 18 Rue Hermel 75018 Paris 18e

Bonjour,

URGENT -- Votre bien classe F est une passoire thermique. Depuis le 1er janvier 2025, il est interdit a la location. Une renovation energetique globale est indispensable pour retrouver la conformite et la valeur de votre bien. Nous vous accompagnons dans le montage du dossier d'aides (MaPrimeRenov' Parcours accompagne) et le suivi des travaux.

Surface concernee : 95 m2. Annee de construction : 1985.

N'hesitez pas a nous contacter pour un diagnostic gratuit et un devis personnalise.

Cordialement,
L'equipe Trudaines Energie"
