id_mutation,date_mutation,annee,adresse,voie,commune,nb_pieces,surface_m2,prix_eur,eur_m2,distance_m,latitude,longitude
2021-1715750,2021-01-06,2021,83 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,1,14.0,180000,12857,178,48.88243,2.346408
2021-1715776,2021-01-06,2021,191 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,1,30.0,327600,10920,60,48.883109,2.349064
2021-1715832,2021-01-07,2021,27 BD DE ROCHECHOUART,BD DE ROCHECHOUART,75109,2,48.0,562600,11721,189,48.882899,2.345892
2021-1715690,2021-01-11,2021,66 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,1,27.0,438745,16250,260,48.881252,2.346927
2021-1715863,2021-01-18,2021,75 RUE DE ROCHECHOUART,RUE DE ROCHECHOUART,75109,1,58.0,540000,9310,263,48.881548,2.346116
2021-1715829,2021-01-19,2021,79 RUE DE DUNKERQUE,RUE DE DUNKERQUE,75109,3,50.0,678900,13578,221,48.881676,2.346845
2021-1724324,2021-01-20,2021,27 RUE DE CLIGNANCOURT,RUE DE CLIGNANCOURT,75118,3,59.0,550000,9322,262,48.88553,2.346845
2021-1724361,2021-01-22,2021,22 BD BARBES,BD BARBES,75118,6,115.0,1145000,9957,221,48.885079,2.349947
2021-1715930,2021-01-25,2021,159 RUE DU FG POISSONNIERE,RUE DU FG POISSONNIERE,75109,3,46.0,702470,15271,289,48.880897,2.349494
2021-1724526,2021-01-27,2021,1 RUE ANDRE DEL SARTE,RUE ANDRE DEL SARTE,75118,3,48.0,501500,10448,263,48.885622,2.34716
2021-1724574,2021-01-28,2021,10 BD BARBES,BD BARBES,75118,1,12.0,63000,5250,161,48.884326,2.35004
2021-1715816,2021-01-29,2021,4 RUE GERANDO,RUE GERANDO,75109,3,38.0,520000,13684,262,48.882003,2.345463
2021-1724447,2021-02-03,2021,7 RUE LIVINGSTONE,RUE LIVINGSTONE,75118,1,21.0,230000,10952,266,48.884196,2.344928
2021-1724617,2021-02-05,2021,17 RUE BELHOMME,RUE BELHOMME,75118,2,49.0,424500,8663,128,48.884541,2.348422
2021-1724471,2021-02-08,2021,63 RUE DE LA GOUTTE D OR,RUE DE LA GOUTTE D OR,75118,5,90.0,440000,4889,224,48.885013,2.35018
2021-1716001,2021-02-09,2021,6 RUE PETRELLE,RUE PETRELLE,75109,1,10.0,45000,4500,298,48.880732,2.348869
