id_mutation,date_mutation,annee,adresse,commune,nb_pieces,surface_m2,prix_eur,eur_m2,distance_m,latitude,longitude
2021-1715832,2021-01-07,2021,27 BD DE ROCHECHOUART,75109,2,48.0,562600,11721,189,48.882899,2.345892
2021-1715919,2021-01-14,2021,63 BD DE ROCHECHOUART,75109,2,44.0,550000,12500,628,48.881648,2.340197
2021-1716237,2021-03-05,2021,51 BD DE ROCHECHOUART,75109,1,33.0,344550,10441,516,48.882095,2.341584
2021-1684069,2021-04-23,2021,63 BD DE ROCHECHOUART,75109,2,44.0,450000,10227,628,48.881648,2.340197
2021-1685471,2021-05-05,2021,63 BD DE ROCHECHOUART,75109,1,31.0,357000,11516,628,48.881648,2.340197
2021-1685342,2021-05-14,2021,9 BD DE ROCHECHOUART,75109,4,50.0,564850,11297,16,48.883248,2.348404
2021-1685866,2021-05-21,2021,63 BD DE ROCHECHOUART,75109,2,52.0,714255,13736,628,48.881648,2.340197
2021-1685946,2021-05-27,2021,63 BD DE ROCHECHOUART,75109,2,52.0,581900,11190,628,48.881648,2.340197
2021-1687568,2021-06-17,2021,17 BD DE ROCHECHOUART,75109,1,32.0,357412,11169,67,48.883125,2.347535
2021-1689284,2021-06-29,2021,63 BD DE ROCHECHOUART,75109,2,44.0,264000,6000,628,48.881648,2.340197
2021-1691707,2021-08-23,2021,57 BD DE ROCHECHOUART,75109,3,75.0,890000,11867,580,48.881837,2.340786
2021-1692703,2021-09-09,2021,51 BD DE ROCHECHOUART,75109,4,77.0,952390,12369,516,48.882095,2.341584
2021-1693216,2021-09-20,2021,9 BD DE ROCHECHOUART,75109,2,45.0,498075,11068,22,48.883224,2.348194
2021-1697177,2021-11-05,2021,7 BD DE ROCHECHOUART,75109,3,68.0,715000,10515,33,48.883265,2.348764
2021-1699615,2021-12-22,2021,11 BD DE ROCHECHOUART,75109,5,88.0,877990,9977,31,48.883234,2.348008
2022-1642433,2022-01-24,2022,29 BD DE ROCHECHOUART,75109,3,47.0,557900,11870,202,48.882848,2.345727
2022-1643289,2022-02-04,2022,25 BD DE ROCHECHOUART,75109,3,50.0,571950,11439,176,48.882939,2.346053
2022-1643669,2022-02-15,2022,63 BD DE ROCHECHOUART,75109,1,31.0,380000,12258,628,48.881648,2.340197
2022-1643219,2022-02-18,2022,7 BD DE ROCHECHOUART,75109,3,73.0,502000,6877,19,48.883255,2.348514
2022-1643531,2022-02-18,2022,27 BD DE ROCHECHOUART,75109,2,45.0,633038,14068,189,48.882899,2.345892
2022-1644609,2022-02-21,2022,63 BD DE ROCHECHOUART,75109,2,52.0,647250,12447,628,48.881648,2.340197
2022-1644494,2022-03-09,2022,63 BD DE ROCHECHOUART,75109,1,31.0,347600,11213,628,48.881648,2.340197
2022-1644575,2022-03-14,2022,21 BD DE ROCHECHOUART,75109,2,28.0,350000,12500,149,48.883062,2.34638
2022-1644886,2022-03-14,2022,9 BD DE ROCHECHOUART,75109,4,85.0,880000,10353,22,48.883224,2.348194
2022-1646936,2022-04-04,2022,11 BD DE ROCHECHOUART,75109,1,17.0,170000,10000,31,48.883234,2.348008
2022-1651087,2022-06-16,2022,9 BD DE ROCHECHOUART,75109,1,38.0,345000,9079,22,48.883224,2.348194
2022-1652418,2022-06-24,2022,51 BD DE ROCHECHOUART,75109,4,77.0,910600,11826,516,48.882095,2.341584
2022-1653057,2022-07-22,2022,7 BD DE ROCHECHOUART,75109,2,31.0,384000,12387,19,48.883255,2.348514
2022-1656284,2022-08-25,2022,21 BD DE ROCHECHOUART,75109,1,20.0,159000,7950,149,48.883062,2.34638
2022-1658130,2022-09-21,2022,17 BD DE ROCHECHOUART,75109,5,84.0,920000,10952,67,48.883125,2.347535
2022-1658474,2022-10-06,2022,31 BD DE ROCHECHOUART,75109,3,50.0,618800,12376,213,48.882886,2.345544
2022-1661423,2022-11-25,2022,27 BD DE ROCHECHOUART,75109,2,41.0,420000,10244,189,48.882899,2.345892
2023-1322586,2023-01-06,2023,17 BD DE ROCHECHOUART,75109,3,67.0,733176,10943,67,48.883125,2.347535
2023-1322843,2023-01-25,2023,9 BD DE ROCHECHOUART,75109,2,33.0,352760,10690,16,48.883248,2.348404
2023-1327854,2023-04-20,2023,27 BD DE ROCHECHOUART,75109,2,48.0,699000,14562,189,48.882899,2.345892
2023-1329059,2023-05-11,2023,11 BD DE ROCHECHOUART,75109,2,32.0,360000,11250,31,48.883234,2.348008
2023-1329826,2023-05-30,2023,13 BD DE ROCHECHOUART,75109,3,59.0,638000,10814,44,48.883113,2.347936
2023-1329586,2023-06-01,2023,9 BD DE ROCHECHOUART,75109,4,78.0,830000,10641,16,48.883248,2.348404
2023-1331821,2023-06-30,2023,11 BD DE ROCHECHOUART,75109,2,36.0,340000,9444,31,48.883234,2.348008
2023-1334617,2023-08-31,2023,13 BD DE ROCHECHOUART,75109,1,15.0,150000,10000,44,48.883113,2.347936
2024-1194254,2024-01-22,2024,25 BD DE ROCHECHOUART,75109,4,85.0,643000,7565,176,48.882939,2.346053
2024-1194522,2024-01-31,2024,7 BD DE ROCHECHOUART,75109,3,57.0,573400,10060,19,48.883255,2.348514
2024-1196433,2024-02-27,2024,3 BD DE ROCHECHOUART,75109,1,15.0,131000,8733,54,48.883415,2.3491
2024-1197300,2024-03-15,2024,3 BD DE ROCHECHOUART,75109,1,15.0,142000,9467,54,48.883415,2.3491
2024-1198487,2024-04-23,2024,13 BD DE ROCHECHOUART,75109,3,60.0,473950,7899,44,48.883113,2.347936
2024-1198826,2024-04-30,2024,9 BD DE ROCHECHOUART,75109,5,87.0,690000,7931,22,48.883224,2.348194
2024-1198227,2024-05-02,2024,63 BD DE ROCHECHOUART,75109,3,84.0,794200,9455,628,48.881648,2.340197
2024-1199811,2024-05-23,2024,25 BD DE ROCHECHOUART,75109,1,16.0,197000,12312,176,48.882939,2.346053
2024-1201294,2024-06-24,2024,9 BD DE ROCHECHOUART,75109,2,35.0,300000,8571,22,48.883224,2.348194
